	Activated_CD4_Rep1	Activated_CD4_Rep2	Activated_CD4_Rep3	Activated_CD8_Rep1	Activated_CD8_Rep2	Activated_CD8_Rep3
ENSG00000000003	70.7339339774845	33.7661011326153	92.6976503265954	65.7580283366174	34.7855114668775	77.3834396074766
ENSG00000000005	0	0	0	0	0	0
ENSG00000000419	2465.25153501856	2545.58884649772	2960.99735928286	2728.95817596962	3159.07368611038	3014.22482230087
ENSG00000000457	967.083621921674	1514.78481469927	1485.2933856928	967.996858308148	1504.0156668442	1206.43579339849
ENSG00000000460	1629.19962685846	1740.83010283705	2060.65811185788	1739.68666143492	2122.83160767602	2136.90172988357
ENSG00000000938	28.9893172038871	16.8830505663076	20.2443144391415	71.5602073074954	8.23867376847099	21.4436037466501
ENSG00000000971	336.27607956509	184.7756089757	82.0427479902051	31.9119843398291	10.0694901614645	10.2556365744849
ENSG00000001036	600.658652464541	562.768352210254	523.155704716762	527.998286349899	611.492675259847	578.977301159554
ENSG00000001084	688.786176764358	1136.79207146471	1184.8251398066	895.469621172173	885.199726012383	1010.6463678856
ENSG00000001167	3193.4631831802	3090.53620088798	3008.94441979661	2575.20043324136	2274.78936829449	2321.5031882243
ENSG00000001460	293.371890103338	540.257618121844	365.463150138186	306.548455628055	345.108890079285	387.849528635063
ENSG00000001461	2988.21881737668	2751.93724230814	1965.82948106401	3484.20847201224	2643.69887148269	2934.97672149803
ENSG00000001497	2035.05006771287	2327.98508364309	2799.04284376972	2055.90541534777	2597.92846165785	2833.35268635086
ENSG00000001561	807.062590956217	887.298101984834	912.059639995007	823.909413864677	805.559212917163	870.796778233532
ENSG00000001617	6.95743612893291	2.81384176105127	1.06549023363903	39.6482229676664	1.83081639299355	4.6616529884022
ENSG00000001626	0	0	0	0	0	0
ENSG00000001629	3516.98396317558	3234.98007795528	2257.7738050811	3566.40600743302	4543.1708792135	3719.99908474496
ENSG00000001630	4508.41861154852	3412.25210890151	3379.73502110299	3926.14110362745	2495.40274365021	3106.52555147123
ENSG00000001631	1631.51877223477	1751.14752262757	1905.09653774658	1558.85208350923	1780.46894218623	1600.81163621732
ENSG00000002016	514.850273541035	568.396035732357	407.017269250108	442.899661443688	498.897467090743	394.375842818827
ENSG00000002079	1.15957268815548	0	0	0	0	0
ENSG00000002330	231.914537631097	277.632387090392	419.803152053777	201.142204323771	221.52878355222	357.082618911609
ENSG00000002549	7386.47802355043	8378.682817157	7819.63282467682	6096.15603873583	14519.2894046354	11712.8692986594
ENSG00000002586	4696.26938702971	5505.75037912365	4894.86213333769	4236.55767856943	4722.59088572687	4270.07413737642
ENSG00000002587	3.47871806446645	0	4.26196093455611	0.967029828479668	0.915408196496777	1.86466119536088
ENSG00000002726	0	0	4.26196093455611	0	0	1.86466119536088
ENSG00000002745	0	0	0	0	0	0.932330597680441
ENSG00000002746	4.63829075262194	5.62768352210254	2.13098046727805	8.70326845631701	3.66163278598711	0.932330597680441
ENSG00000002822	984.477212244006	840.400739300646	713.878456538148	455.471049213924	320.392868773872	342.165329348722
ENSG00000002834	14585.1052716197	10561.2860764791	10589.9074321383	12965.9359402554	9724.38127138526	10807.5762883117
ENSG00000002919	1049.41328278071	997.975877919518	960.006700508764	1485.35781654477	1532.3933209356	1488.93196449566
ENSG00000002933	133.350859137881	60.0286242357605	35.1611777100879	8.70326845631701	0	0
ENSG00000003056	8678.24199815564	7297.22963365963	8875.5336462131	11227.2163086489	7915.53467510763	8200.77993719716
ENSG00000003096	28.9893172038871	56.2768352210254	157.692554578576	52.2196107379021	41.1933688423549	76.4511090097962
ENSG00000003137	0	0	0	0.967029828479668	0	2.79699179304132
ENSG00000003147	52.1807709669968	65.656307757863	62.8639237847026	18.3735667411137	199.558986836297	42.8872074933003
ENSG00000003249	52.1807709669968	67.5322022652305	51.1435312146733	40.6152527961461	1.83081639299355	20.5112731489697
ENSG00000003393	837.21148084826	682.825600681775	661.669435089836	683.690088735125	770.773701450286	730.014857983785
ENSG00000003400	2236.81571545193	2721.92293019026	2595.53420914467	2336.34406560688	4517.53944971159	3265.0217530769
ENSG00000003402	11878.6626174648	11164.3861605978	5996.57903492045	10707.9212907554	11729.1252217132	10011.3659578926
