	Activated_CD4_Rep1	Activated_CD4_Rep2	Activated_CD4_Rep3	Naive_CD4_Rep1	Naive_CD4_Rep2	Naive_CD4_Rep3
ENSG00000000003	62.8531517469618	29.7296476340509	84.3801376552199	72.1818782287573	86.1746237262584	219.486401381315
ENSG00000000005	0	0	0	0	0	0
ENSG00000000419	2157.61475013341	2208.25216037367	2625.37291931809	1201.61597286696	1521.26935751422	964.983316417852
ENSG00000000457	1035.53143451962	1606.22679578414	1609.93467185357	1438.33007352891	1745.32337920249	1643.30982413511
ENSG00000000460	1460.04780369582	1545.94167697065	1870.74600642425	455.382731766719	290.695730703245	287.602870775517
ENSG00000000938	26.7898679577214	14.8648238170255	19.17730401255	210.176645430793	20.681909694302	72.8467797687987
ENSG00000000971	283.354372629746	153.603179442596	69.9971596458074	326.941448447901	121.793468199779	219.486401381315
ENSG00000001036	523.432804712403	484.758421144108	461.214161501827	260.067061265376	264.268846093859	252.598574003497
ENSG00000001084	621.31886071177	1017.41460792085	1084.4765419097	1340.67223827824	1036.39347468113	1086.07926200754
ENSG00000001167	2826.33106953961	2710.35287597097	2698.24667456578	2470.10633291645	3148.24625346597	2709.52178256934
ENSG00000001460	261.716402356202	478.151832780985	329.84962901586	302.526989635233	304.483670499446	256.382822303175
ENSG00000001461	2652.19692781442	2421.31463508437	1768.14742995711	3730.10470729196	3866.36811785146	2900.62632170307
ENSG00000001497	1774.31356243063	2011.70615657078	2471.95448721769	1925.55775157303	1903.8846868588	1700.07354863028
ENSG00000001561	711.992259953289	775.448309121495	815.035420533374	640.083420175598	843.362317534316	792.80001878251
ENSG00000001617	7.21265675784808	2.47747063617091	0.958865200627499	0	0	0
ENSG00000001626	0	0	0	0	0	0
ENSG00000001629	3075.68291745379	2803.67093660008	2000.19280850896	2757.77234762223	2588.6856967368	2494.76569156262
ENSG00000001630	4217.34344426745	3162.90417884486	3203.56863529647	226.09911856949	296.440705618329	274.358001726644
ENSG00000001631	1442.53135156962	1535.20597088057	1707.73892231757	1670.79818135388	1553.44121703869	1519.37569232066
ENSG00000002016	473.974586944302	518.61718650511	379.710619448489	523.318617158491	691.694979776101	622.508845297007
ENSG00000002079	1.03037953683544	0	0	0	0	0
ENSG00000002330	198.86325060924	236.185533981627	365.327641439077	259.005563056129	260.821861144809	351.93509187004
ENSG00000002549	6167.85190749694	6933.61448709698	6616.16988432974	1007.36180057486	1039.84045963019	725.629611463228
ENSG00000002586	4153.45991298366	4825.28697571554	4385.84942767018	3191.92511520402	3132.16032370374	3858.98720359649
ENSG00000002587	3.09113861050632	0	3.83546080250999	2.12299641849286	0	0.946062074919463
ENSG00000002726	0	0	1.917730401255	0	0	0
ENSG00000002745	0	0	0	0	0	0
ENSG00000002746	3.09113861050632	4.12911772695151	1.917730401255	8.49198567397145	1.14899498301678	191.104539133732
ENSG00000002822	653.260626353669	551.650128320722	479.432600313749	1219.66144242415	1197.25277230348	1553.43392701776
ENSG00000002834	12714.8834845493	9124.52435301746	9353.73003212125	4737.46650786682	4258.17540706018	3972.51465258683
ENSG00000002919	914.97702870987	861.333957842086	847.636837354709	593.377498968755	683.652014894983	408.698816365208
ENSG00000002933	120.554405809746	53.6785304503697	31.6425516207075	14.86097492945	37.9168344395537	185.428166684215
ENSG00000003056	6669.6467419358	5557.79246047674	6910.54150092238	9694.66314504766	9297.66740257178	7876.91283577945
ENSG00000003096	23.6987293472151	44.5944714510764	128.487936884085	29.7219498589001	47.1087943036879	167.452987260745
ENSG00000003137	0	0	0	1.06149820924643	0	2.83818622475839
ENSG00000003147	45.3366996207593	55.3301775411503	54.6553164357674	57.3209032993073	135.58140799598	19.8673035733087
ENSG00000003249	47.3974586944302	61.1109423588824	46.9843948307474	132.687276155804	432.022113614309	112.581386915416
ENSG00000003393	713.022639490124	575.599011137041	571.483659573989	398.061828467412	730.760809198671	341.528409045926
ENSG00000003400	2299.8071262167	2773.94128896603	2704.95873097017	3113.37424771978	2742.65102446105	2342.44969750059
ENSG00000003402	16629.2953449872	15488.3205937951	8505.13432956591	9448.39556050249	7072.06412046828	6249.68606691797
ENSG00000003436	336.934108545189	285.734946705045	304.919133799545	731.372266170791	606.669351032859	451.271609736584
ENSG00000003509	1117.96179746645	843.99166338889	957.906335426871	871.49002979132	687.098999844034	647.106459244913
ENSG00000003756	4025.69285041606	4846.75838789569	4982.26358246048	10399.4979559873	10474.238265181	9875.94200008427
ENSG00000003987	0	1.65164709078061	9.58865200627499	0	2.29798996603356	0
ENSG00000003989	81.3999834099997	28.0780005432703	135.199993288477	4.24599283698573	31.022864541453	52.9794761954899
ENSG00000004059	3462.07524376708	3153.82011984557	3664.7827967983	2079.47499191376	2617.41057131222	2281.90172470574
ENSG00000004139	1057.16940479316	1157.8046106372	1405.69638411991	1831.08441095009	1901.58669689277	1884.55565323957
ENSG00000004142	2235.9235949329	3080.32182430583	3759.71045166042	1586.93982282342	1938.35453634931	1654.66256903414
ENSG00000004399	152.496171451645	72.6724719943467	125.611341282202	204.869154384561	71.2376889470403	58.6558486450067
ENSG00000004455	25690.452991918	19272.2440787735	15235.4091727703	3773.62613387106	4725.81636514801	3270.53659299658
ENSG00000004468	6209.06708897036	7165.67090335166	9523.44917263232	837.522087095434	833.021362687165	901.597157398248
ENSG00000004478	3014.8905247805	3926.79095833089	4457.76431771724	1782.25549332476	1671.78770028941	2121.07117196944
ENSG00000004487	4402.81176089783	4242.25555266999	4172.98135313087	2777.94081359791	2724.26710473278	2347.18000787519
ENSG00000004534	3863.9232631329	3138.12947248315	3443.28493545335	9250.95689358265	6546.97341322961	8962.04603571207
ENSG00000004660	251.412606987847	356.755771608611	305.877999000172	482.981685207126	617.01030588001	510.87352045651
ENSG00000004700	8400.68436381934	7938.64174183698	8209.80384777264	2879.84464168557	3741.12766470263	1841.03679779328
ENSG00000004766	655.32138542734	963.736077470484	1137.21412794421	1053.00622357246	1440.83970870304	1166.4945383757
ENSG00000004776	7.21265675784808	5.78076481773212	4.79432600313749	0	0	0
ENSG00000004777	996.37701211987	884.457017113014	646.275145222934	355.601900097555	361.933419650285	928.086895495993
ENSG00000004779	1916.50593851392	2127.32145292542	2400.03959717063	722.88028049682	797.402518213645	624.400969446846
ENSG00000004799	8.24303629468352	3.30329418156121	0	1.06149820924643	0	4.73031037459732
ENSG00000004809	0	0	0	0	0	0
ENSG00000004838	23.6987293472151	31.3812947248315	13.424112808785	36.0909391143787	19.5329147112852	64.3322210945235
ENSG00000004846	13.3949339788607	10.7357060900739	6.71205640439249	8.49198567397145	11.4899498301678	8.51455867427517
ENSG00000004848	0	0	0	0	0	0
ENSG00000004864	213.288564124936	205.630062802185	435.324801084884	394.877333839673	334.357540057883	458.84010633594
ENSG00000004866	199.893630146075	174.248768077354	243.551760959385	109.334315552382	136.730402978997	88.9298350424295
ENSG00000004897	5875.22411903568	4428.89167392819	4678.30331386157	2517.87375233254	2402.54850948809	2435.1637808427
ENSG00000004939	8.24303629468352	2.47747063617091	8.62978680564749	10.6149820924643	17.2349247452517	10.4066828241141
ENSG00000004948	0	0	0	0	0	0
ENSG00000004961	471.913827870631	655.703895039901	880.238254176044	239.898595289694	294.142715652295	252.598574003497
ENSG00000004975	1702.18699485215	1666.51191459763	1709.65665271883	1727.05758644394	1617.78493608762	1719.94085220358
ENSG00000005001	0	2.47747063617091	0.958865200627499	0	5.74497491508389	3.78424829967785
ENSG00000005007	2942.76395720202	2593.08593252555	3229.45799571342	3092.14428353486	2987.38695584363	3373.65735916281
ENSG00000005020	638.835312837973	910.057547020114	594.496424389049	190.008179455111	93.0685936243591	85.1455867427517
ENSG00000005022	17819.3837100321	12206.4978244141	18264.4643415526	6050.53979270466	4979.74425639472	6755.82927699989
ENSG00000005059	3522.86763644037	3646.83677644358	4707.06926988039	6262.83943455395	6867.54301349129	7199.53239013711
ENSG00000005073	1.03037953683544	0	0	0	0	0
ENSG00000005075	1151.96432218202	994.291548649925	1187.07511837684	1051.94472536321	1107.63116362818	1437.06829180266
ENSG00000005100	1101.47572487708	1484.83073461176	1637.74176267177	868.305535163581	866.342217194651	898.75897117349
ENSG00000005102	61.8227722101264	479.803479871766	384.504945451627	90.2273477859467	52.8537692187718	45.4109795961342
ENSG00000005108	0	1.65164709078061	0	0	0	0
ENSG00000005156	1580.60220950556	1013.2854901939	1961.83820048386	1266.36736363099	797.402518213645	965.929378492772
ENSG00000005175	1984.51098794506	2044.73909838639	2797.00979023041	1838.51489841482	2156.66358312249	1569.51698229139
ENSG00000005187	577.012540627846	611.935247134214	484.226926316887	502.088652973562	437.767088529393	645.214335095074
ENSG00000005189	1532.1743712743	824.171898299522	706.683652862466	21.2299641849286	16.0859297622349	13.2448690488725
ENSG00000005194	734.660609763669	1116.51343336769	1768.14742995711	1609.23128521759	1667.19172035735	1736.02390747721
ENSG00000005206	577.012540627846	554.953422502284	647.234010423562	1842.76089125181	1446.58468361812	2629.10650620119
ENSG00000005238	490.460659533669	291.515711522777	243.551760959385	190.008179455111	225.203016671289	173.129359710262
ENSG00000005243	43.2759405470885	42.9428243602958	28.765956018825	22.2914623941751	13.7879397962013	18.9212414983893
ENSG00000005249	90.6733992415187	108.18288444613	219.580130943697	37.1524373236251	47.1087943036879	77.577090143396
ENSG00000005302	4382.20417016113	6303.51112196418	5779.08056418193	7029.24114162987	7097.34201009464	6394.43356438065
ENSG00000005339	1766.07052613594	1537.68344151674	1845.81551120793	9864.50285852709	8292.29679243209	7631.88275837531
ENSG00000005379	920.128926394048	517.79136295972	575.319120376499	679.358853917716	528.537692187718	583.720300225309
ENSG00000005381	7.21265675784808	0	0	133.74877436505	1.14899498301678	0
ENSG00000005421	35.0329042524049	13.2131767262448	6.71205640439249	11.6764803017107	36.7678394565369	122.042007664611
ENSG00000005436	831.5162862262	1092.56455055137	1113.24249792853	1588.00132103266	1487.94850300673	1631.95707923607
ENSG00000005448	4736.65473083252	3442.03253718678	2167.99421861877	481.92018699788	453.853018291628	505.197148006993
ENSG00000005469	217.410082272278	225.449827891553	326.973033413977	434.15276758179	545.77261693297	473.977099534651
ENSG00000005471	78.3088447994934	9.08405899929333	2.8765956018825	3.18449462773929	6.89396989810067	14.1909311237919
ENSG00000005483	6576.91258362061	6396.82918259329	5244.03378223179	9106.59313712514	9695.21966669558	9441.69950769624
ENSG00000005486	387.422705850125	432.731537784519	732.573013279409	1094.40465373307	1009.96659007175	1386.92700183193
ENSG00000005513	46.3670791575948	48.7235891780279	59.4496424389049	200.623161547576	248.182916331624	375.586643743027
ENSG00000005700	3387.88791711493	2866.43352604974	2712.62965257519	2402.17044752467	2928.78821170977	1870.36472211578
