	Naive_CD4_Rep1	Naive_CD4_Rep2	Naive_CD4_Rep3	Naive_CD8_Rep1	Naive_CD8_Rep2	Naive_CD8_Rep3
ENSG00000000003	71.8609244248515	86.1516034709346	224.840240239223	37.5781516145894	135.526705663406	131.403511663226
ENSG00000000005	0	0	0	0	0	0
ENSG00000000419	1146.73841370925	1461.26373579547	947.673739851269	916.906899395981	1269.67124253086	951.945440049149
ENSG00000000457	1595.11009709248	1948.35164772729	1876.76564166624	1381.93652562652	1617.14948787839	1121.30996619286
ENSG00000000460	445.335306294855	286.067503832975	288.947581464456	481.939794457109	312.832320591472	360.142957891805
ENSG00000000938	209.510019097807	20.9856469993302	74.3273521451976	1044.67261488558	54.0068827079739	1435.70503483895
ENSG00000000971	306.674085925775	114.868804627913	211.832953613813	125.886807908874	80.5008251684895	11.6803121478423
ENSG00000001036	242.910167069921	249.618748518349	243.422078275522	333.506095579481	165.077641484751	195.645228476359
ENSG00000001084	1339.04229597294	1042.65530354567	1117.69755788341	1194.98522134394	1471.43280434555	1318.90191336053
ENSG00000001167	2405.82277968834	3087.09912437516	2717.59381280879	2518.67561196785	2536.28549170089	3137.13717104132
ENSG00000001460	305.66196022965	310.366674042726	266.649375820896	264.925968882855	297.547353787328	252.100070524263
ENSG00000001461	3445.27586960837	3596.27719104312	2758.47385648865	3317.21133377788	4008.73729383339	4072.53550221436
ENSG00000001497	1862.31128086939	1854.46849009871	1692.80544510688	1663.77266273595	1898.39287707463	1738.4197913372
ENSG00000001561	612.336046155425	812.917694289845	781.36628942639	888.723285685039	613.436667739629	838.062396607687
ENSG00000001617	0	0	0	0	0	0
ENSG00000001626	0	0	0	0	0	0
ENSG00000001629	2554.60525701867	2415.55842039659	2379.40436054814	2444.45876252904	2904.14369278728	2544.36132953832
ENSG00000001630	217.607024666804	287.172011569782	272.223927231786	343.840087273493	236.407486570754	491.546469555031
ENSG00000001631	1489.84902469551	1396.09777932386	1395.49603652609	1559.49329200546	1589.63654763093	1352.9694904584
ENSG00000002016	610.311794763176	812.917694289845	747.918980961051	624.736770592549	733.678406598891	507.120219085487
ENSG00000002079	0	0	0	0	0	0
ENSG00000002330	241.898041373796	245.200717571122	338.189452260649	205.740380089877	317.927309526186	261.833663980799
ENSG00000002549	892.694863981958	927.786498917758	661.513434092259	697.074712450633	823.350211849867	773.820679794554
ENSG00000002586	3040.42559115851	3005.36555185145	3785.12040799419	2834.3320855304	2315.16297193428	2325.35547676628
ENSG00000002587	2.02425139224934	0	0.92909190181497	3.75781516145894	5.09498893471452	0.973359345653527
ENSG00000002726	0	0	0	6.57617653255314	0	0.973359345653527
ENSG00000002745	0	0	0	0	0	0
ENSG00000002746	8.09700556899736	1.10450773680685	188.605656068439	12.2128992747416	7.13298450860033	7.78687476522821
ENSG00000002822	1204.42957838836	1189.55483254098	1578.52714118363	822.961520359508	802.970256111009	701.792088216193
ENSG00000002834	4478.65620535166	4055.75240955477	3867.80958725572	5056.140299743	5562.70891892132	4325.60893208427
ENSG00000002919	551.608504387945	640.614487347975	392.076782565917	622.857863011819	648.082592495687	417.571159285363
ENSG00000002933	13.1576340496207	33.1352321042056	168.16563422851	9.39453790364735	5.09498893471452	1.94671869130705
ENSG00000003056	7691.14316485136	7430.02354549971	6433.96142006867	7389.743515009	6635.71358857219	6146.76426780202
ENSG00000003096	27.3273937953661	44.1803094722742	158.87471521036	12.2128992747416	66.2348561512888	20.4405462587241
ENSG00000003137	1.01212569612467	0	2.78727570544491	4.69726895182367	0	0
ENSG00000003147	57.6911646791062	136.95895936405	20.4400218399293	90.1875638750145	16.3039645910865	104.149449984927
ENSG00000003249	138.66122036908	457.266203038038	121.711039137761	53.5488660507899	30.5699336082871	11.6803121478423
ENSG00000003393	424.080666676236	784.200493132867	375.353128333248	582.461350026136	602.227692083257	485.70631348111
ENSG00000003400	3388.59683062539	3006.47005958826	2624.68462262729	3579.31894128964	2994.8344958252	3168.28467010223
ENSG00000003402	12266.963437031	9246.93877254698	8354.39438112021	10314.2631644144	6545.02278553428	9788.10157989187
ENSG00000003436	814.761185380359	681.481273609829	517.504189310938	902.81509254051	731.640411025006	644.363886822635
ENSG00000003509	792.494420065616	628.4649022431	605.76791998336	713.984880677198	715.336446433919	654.09748027917
ENSG00000003756	9573.69695964325	9713.04103747948	9361.53000268764	8668.34012369541	9221.92997183329	9274.1678453868
ENSG00000003987	0	5.52253868403427	0	0	5.09498893471452	5.84015607392116
ENSG00000003989	4.04850278449868	30.9262166305919	53.8873303052683	3.75781516145894	1.0189977869429	0
ENSG00000004059	2117.36695629281	2683.95380044066	2392.41164717355	1884.54430347166	2637.16627260824	2349.68946040761
ENSG00000004139	2094.08806528194	2190.23884208799	2218.67146153415	1785.90165548336	1690.51732853828	2441.18523889905
ENSG00000004142	1576.89183456223	1940.62009356964	1693.73453700869	1528.49131692342	2002.33065134281	1426.94480072807
ENSG00000004399	188.255379479188	66.2704642084113	54.8164222070832	282.775590899785	74.386838446832	79.8154663435892
ENSG00000004455	4109.23032626616	5183.45480883457	3666.19664456187	3599.98692467766	4493.78024041821	3340.5692742829
ENSG00000004468	970.628542583558	971.966808390032	1074.95933039992	695.195804869904	630.759630117658	305.634834535207
ENSG00000004478	1424.06085444741	1345.29042343075	1744.83459160851	1593.31362845859	1516.26870697104	1535.96104744127
ENSG00000004487	2634.56318701251	2602.22022791695	2292.06972177753	2471.70292244962	2368.15085685531	2167.6712627704
ENSG00000004534	8492.7467161821	6053.80690543837	8471.4599607489	7607.69679437362	7398.94293099243	4565.05533111504
ENSG00000004660	464.565694521223	598.643193349315	506.355086489159	327.869372837292	567.581767327198	437.038346198433
ENSG00000004700	2857.23084015994	3738.7586890912	1880.4820092735	2051.76707815658	2585.19738547415	1492.15987688686
ENSG00000004766	972.652793975807	1340.87239248352	1109.33573076707	1128.28400222805	1324.69712302578	1119.36324750156
ENSG00000004776	0	0	0	0	0	0
ENSG00000004777	361.328873516507	371.114599567103	970.901037396644	390.81277679173	468.738981993736	598.615997576919
ENSG00000004779	694.318227541523	770.946400291184	616.91702280514	552.398828734464	857.996136605926	613.216387761722
ENSG00000004799	1.01212569612467	0	4.64545950907485	10.3339916940121	0	2.92007803696058
ENSG00000004809	0	0	0	27.2441599205773	11.208975656372	9.73359345653527
ENSG00000004838	30.3637708837401	16.5676160521028	53.8873303052683	55.4277736315193	44.8359026254878	21.4139056043776
ENSG00000004846	10.1212569612467	13.2540928416823	10.2200109199647	22.5468909687536	12.2279734433149	20.4405462587241
ENSG00000004848	0	0	0	0	0	0
ENSG00000004864	323.880222759894	275.022426464907	387.431323056843	266.804876463585	105.975769842062	332.888896213506
ENSG00000004866	108.29744948534	136.95895936405	91.0510063778671	140.91806855471	96.8047897595759	70.0818728870539
ENSG00000004897	2374.44688310847	2281.91298424296	2364.5388901191	2000.09711968652	2310.06798299956	2295.18133705102
ENSG00000004939	10.1212569612467	16.5676160521028	10.2200109199647	5.63672274218841	11.208975656372	10.7069528021888
ENSG00000004948	0	0	0	0	0	0
ENSG00000004961	237.849538589297	292.694550253816	257.358456802747	186.951304282582	231.312497636039	180.071478945902
ENSG00000004975	1614.34048531885	1522.01166131985	1654.71267713246	1452.39555990388	1671.15637058636	1346.15597503883
ENSG00000005001	0	5.52253868403427	3.71636760725988	8.45508411328261	0	1.94671869130705
ENSG00000005007	2976.66167230265	2897.12379364438	3344.73084653389	2611.68153721396	2290.70702504765	3498.25348827877
ENSG00000005020	194.328133655937	96.0921731021963	90.1219144760521	475.363617924556	158.963654763093	271.567257437334
ENSG00000005022	5746.84970259587	4763.74186884796	6605.84342190444	5385.88858016102	5653.39972195923	5702.91240618401
ENSG00000005059	5643.61288159116	6233.84166653789	6680.17077404963	4301.75890608012	5155.10980414415	4851.22297873718
ENSG00000005073	0	0	0	0	0	0
ENSG00000005075	999.980187771173	1061.43193507139	1406.64513934786	1129.22345601841	1020.01678472985	1043.44121854058
ENSG00000005100	826.906693733855	830.589818078754	880.779122920592	969.516311656406	890.604065788099	1011.32036013401
ENSG00000005102	88.0549355628462	51.9118636299222	45.5255031889335	58.2461350026135	95.785791972633	61.3216387761722
ENSG00000005108	0	0	0	6.57617653255314	0	0
ENSG00000005156	1328.92103901169	841.634895446823	1043.37020573821	1317.11421409136	1192.2274107232	1188.47176104296
ENSG00000005175	1609.27985683822	1900.8578150446	1414.07787456238	886.844378104309	1336.92509646909	1338.3691002736
ENSG00000005187	446.347431990979	390.995738829626	589.973357652506	546.762105992276	657.253572578173	554.81482702251
ENSG00000005189	20.2425139224934	15.463108315296	13.0072866254096	20.6679833880242	23.4369490996868	28.2274210239523
ENSG00000005194	1476.69139064589	1540.78829284556	1639.84720670342	1352.81345812522	1989.08368011255	1816.28853898948
ENSG00000005206	1766.15933973755	1396.09777932386	2594.95368176921	2311.05632429725	2264.21308258713	3439.85192753956
ENSG00000005238	181.170499606316	215.379008677337	169.094726130325	230.16617863936	211.951539684124	240.419758376421
ENSG00000005243	19.2303882263687	12.1495851048754	17.6527461344844	32.8808826627657	33.6269269691158	19.4671869130705
ENSG00000005249	35.4243993643634	44.1803094722742	75.2564440470126	106.158278311215	46.8738981993736	35.040936443527
ENSG00000005302	7434.0632380357	7560.35545844292	6963.5438041032	7310.82939661837	7902.32783774223	8491.58693148137
ENSG00000005339	7490.74227701868	6342.08342474496	5967.55728535755	11699.018051412	6000.87796730677	11483.6935600203
ENSG00000005379	723.669872729139	567.716976718723	641.073412252329	1503.12606458358	1109.68858998082	916.904503605622
ENSG00000005381	121.45508353496	1.10450773680685	0	1039.97534593376	38.7219159038304	397.130613026639
ENSG00000005421	9.10913126512202	28.7172011569782	96.6255577887569	0	0	0
ENSG00000005436	1454.42462533115	1371.79860911411	1538.57618940559	1414.81740828929	1330.81110974743	1255.63355589305
ENSG00000005448	478.735454266969	453.952679827617	516.575097409123	423.693659454495	423.903079368248	428.278112087552
ENSG00000005469	386.632015919624	488.19241966863	433.885918147591	375.781516145894	314.870316165358	367.929832657033
ENSG00000005471	3.03637708837401	6.62704642084113	14.8654704290395	3.75781516145894	0	0
ENSG00000005483	8967.43366766457	9615.84435664047	9572.43386439964	8846.83634386471	9299.37380364095	8211.25943993315
ENSG00000005486	960.507285622311	893.546759076745	1253.34497554839	906.572907701969	1088.28963645502	995.746610603558
ENSG00000005513	190.279630871438	237.469163413474	366.062209315098	113.673908634133	136.545703450349	133.350230354533
ENSG00000005700	2284.36769615338	2805.44965148941	1831.24013847731	2344.87666075038	2338.59992103397	1814.34182029817
ENSG00000005801	1261.10861737134	1242.57120390771	1073.10114659629	1385.69434078798	1135.1635346544	1625.51010724139
ENSG00000005810	14500.7248483781	15782.3110512331	12449.8314843206	17675.8230657125	13922.5667630009	12288.6617388758
ENSG00000005812	3236.77797620669	3607.32226841119	3189.57249893079	3033.49628908773	2666.71720842958	5027.40102030047
ENSG00000005844	11654.6273908756	11130.1244638027	10456.0002630257	12508.8272187064	11411.7562159736	11425.2919992811
ENSG00000005882	517.196230719706	638.405471874362	919.80098279682	464.090172440179	631.778627904601	580.122170009502
ENSG00000005884	281.370943522658	511.387082141574	305.671235697125	255.531430979208	434.093057237677	227.766086882925
ENSG00000005889	2187.20362932541	2422.18546681743	2331.09158165376	2777.02540431816	2406.87277275914	2378.89024077722
ENSG00000005893	2118.37908198893	3250.56626942257	2548.49908667846	2253.749643085	2825.68086319267	2145.28399782037
ENSG00000005961	14.1697597457454	23.1946624729439	7.43273521451976	62.9434039544372	9.17098008248614	15.5737495304564
ENSG00000005981	3.03637708837401	1.10450773680685	0	0	4.07599114777162	0
ENSG00000006007	891.682738285834	1095.6716749124	860.339101080662	999.578832948078	1009.82680686042	1074.58871760149
ENSG00000006015	846.137081960224	786.40950860648	1531.14345419107	1149.89143940644	989.44685112156	1233.24629094302
ENSG00000006016	2.02425139224934	0	0	0	0	0
ENSG00000006025	1618.38898810335	1075.79053564988	1251.48679174476	1532.24913208488	1145.35351252382	1229.3528535604
ENSG00000006042	19.2303882263687	15.463108315296	21.3691137417443	12.2128992747416	18.3419601649723	16.54710887611
ENSG00000006047	8.09700556899736	0	10.2200109199647	17.84962201693	8.15198229554324	30.1741397152593
ENSG00000006059	0	0	0	0	0	0
ENSG00000006062	1973.64510744311	1814.70621157366	2253.0478619013	2241.53674381026	1809.7400696106	2026.53415765064
ENSG00000006071	0	0	12.0781947235946	0.939453790364735	0	0.973359345653527
ENSG00000006116	0	0	0	0	0	1.94671869130705
ENSG00000006118	3.03637708837401	17.6721237889097	10.2200109199647	1.87890758072947	12.2279734433149	1.94671869130705
ENSG00000006125	6775.16940985854	7315.1547408718	5715.7733799657	5549.35353968449	7170.68742671722	4995.2801618939
ENSG00000006128	0	0	0	0	0	0
ENSG00000006194	2035.38477490671	2253.19578308598	2424.92986373707	1930.57753919953	2068.5655074941	2162.80446604214
ENSG00000006210	4.04850278449868	8.83606189445483	2.78727570544491	1.87890758072947	2.03799557388581	3.89343738261411
ENSG00000006282	690.269724757025	1071.37250470265	698.677110164857	979.850303350418	918.117006035557	1053.17481199712
ENSG00000006283	0	0	0.92909190181497	0	0	0
ENSG00000006327	3.03637708837401	14.3586005784891	60.3909736179731	5.63672274218841	0	8.76023411088174
ENSG00000006377	0	0	0	0	0	0
ENSG00000006432	622.457303116672	476.042834563754	454.32593998752	915.027991815252	742.849386681377	665.777792427012
ENSG00000006451	1775.26847100267	2037.81677440865	1525.56890278018	1701.35081435053	1659.94739492999	1473.66604931944
ENSG00000006453	69.8366730326022	43.0758017354673	52.0291465016383	29.1230675013068	35.6649225430017	17.5204682217635
ENSG00000006459	5422.96947983598	4130.85893565763	5274.45472660359	5242.15215023522	4541.67313640453	6460.18597710246
ENSG00000006468	0	7.73155415764798	13.9363785272246	8.45508411328261	0	2.92007803696058
ENSG00000006530	999.980187771173	1197.28638669863	661.513434092259	876.510386410297	923.211994970272	770.900601757593
ENSG00000006534	18.218262530244	22.0901547361371	15.7945623308545	176.61731258857	49.9308915602023	200.512025204626
ENSG00000006555	229.7525330203	286.067503832975	262.003916311822	222.650548316442	181.381606075837	120.696558861037
ENSG00000006576	1076.90174067665	1410.45637990235	710.755304888452	1092.58475819419	676.614530530089	911.064347531701
ENSG00000006606	0	0	0	0	0	0
ENSG00000006607	402.826027057618	723.45256760849	306.60032759894	419.935844293036	480.966955437051	547.027952257282
ENSG00000006611	0	0	0	0	0	0
